,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
453,Business Entity Type 3,Commercial associate,Low-skill Laborers,,,,,
454,Business Entity Type 3,Working,UNKNOWN,,,,,
455,Self-employed,Working,Laborers,,,,,
456,Self-employed,Commercial associate,Drivers,,,,,
457,Bank,Commercial associate,Accountants,,,,,
458,Medicine,Working,UNKNOWN,,,,,
459,Self-employed,Working,Core staff,,,,,
460,Other,Commercial associate,Sales staff,,,,,
461,Trade: type 3,Working,Core staff,,,,,
462,Business Entity Type 3,Working,Laborers,,,,,
463,Construction,Working,Laborers,,,,,
464,Business Entity Type 2,Commercial associate,Laborers,,,,,
465,Industry: type 9,Working,Laborers,,,,,
466,Agriculture,Commercial associate,Sales staff,,,,,
467,Medicine,Working,Accountants,,,,,
468,Industry: type 3,Working,Security staff,,,,,
469,Military,State servant,Core staff,,,,,
470,Medicine,State servant,Medicine staff,,,,,
471,Self-employed,Working,Sales staff,,,,,
472,Medicine,Working,Medicine staff,,,,,
473,XNA,Pensioner,UNKNOWN,,,,,
474,Trade: type 3,Commercial associate,Sales staff,,,,,
475,Emergency,Working,UNKNOWN,,,,,
476,XNA,Pensioner,UNKNOWN,,,,,
477,Other,Working,High skill tech staff,,,,,
478,Trade: type 3,Commercial associate,Private service staff,,,,,
479,Business Entity Type 3,Commercial associate,Laborers,,,,,
480,Business Entity Type 3,Commercial associate,Managers,,,,,
481,Trade: type 7,Working,Sales staff,,,,,
482,XNA,Pensioner,UNKNOWN,,,,,
483,Business Entity Type 3,Commercial associate,Sales staff,,,,,
484,Business Entity Type 3,Working,Laborers,,,,,
485,Security Ministries,State servant,Core staff,,,,,
486,XNA,Pensioner,UNKNOWN,,,,,
487,Military,State servant,Managers,,,,,
488,Trade: type 7,Working,Sales staff,,,,,
489,Government,Commercial associate,Drivers,,,,,
490,XNA,Pensioner,UNKNOWN,,,,,
491,Medicine,Working,Cooking staff,,,,,
492,Self-employed,Working,Sales staff,,,,,
493,Business Entity Type 3,Commercial associate,Laborers,,,,,
494,Transport: type 4,Working,Drivers,,,,,
495,XNA,Pensioner,UNKNOWN,,,,,
496,Kindergarten,Working,UNKNOWN,,,,,
497,Business Entity Type 3,Commercial associate,Drivers,,,,,
498,XNA,Pensioner,UNKNOWN,,,,,
499,Other,Commercial associate,Cooking staff,,,,,
500,XNA,Pensioner,UNKNOWN,,,,,
501,Construction,Commercial associate,Laborers,,,,,
502,Business Entity Type 2,Working,High skill tech staff,,,,,
503,Business Entity Type 3,Working,Laborers,,,,,
504,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
505,XNA,Pensioner,UNKNOWN,,,,,
506,Industry: type 3,Commercial associate,Drivers,,,,,
507,Business Entity Type 3,Working,Accountants,,,,,
508,Business Entity Type 3,Working,Laborers,,,,,
509,XNA,Pensioner,UNKNOWN,,,,,
510,School,Working,Cleaning staff,,,,,
511,Self-employed,Commercial associate,Laborers,,,,,
512,Business Entity Type 3,Working,UNKNOWN,,,,,
513,Business Entity Type 3,Working,UNKNOWN,,,,,
514,Other,Working,Cooking staff,,,,,
515,Business Entity Type 3,Commercial associate,Sales staff,,,,,
516,Business Entity Type 3,Working,Realty agents,,,,,
517,Self-employed,Working,Cooking staff,,,,,
518,Industry: type 11,Working,UNKNOWN,,,,,
519,Business Entity Type 3,Working,Drivers,,,,,
520,Business Entity Type 1,Commercial associate,Laborers,,,,,
521,Kindergarten,State servant,Core staff,,,,,
522,Business Entity Type 3,Working,Laborers,,,,,
523,Transport: type 4,Commercial associate,Security staff,,,,,
524,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
525,Industry: type 12,Working,Laborers,,,,,
526,XNA,Pensioner,UNKNOWN,,,,,
527,XNA,Pensioner,UNKNOWN,,,,,
528,Self-employed,Commercial associate,Sales staff,,,,,
529,Business Entity Type 3,Commercial associate,Sales staff,,,,,
530,Self-employed,Working,Sales staff,,,,,
531,Business Entity Type 3,Commercial associate,Laborers,,,,,
532,Bank,Commercial associate,Core staff,,,,,
533,School,Working,Security staff,,,,,
534,Business Entity Type 3,Working,Laborers,,,,,
535,Self-employed,Commercial associate,UNKNOWN,,,,,
536,Industry: type 12,Commercial associate,High skill tech staff,,,,,
537,Self-employed,Commercial associate,Core staff,,,,,
538,Kindergarten,State servant,Core staff,,,,,
539,XNA,Pensioner,UNKNOWN,,,,,
540,Insurance,Commercial associate,Core staff,,,,,
541,Business Entity Type 2,Commercial associate,Laborers,,,,,
542,Trade: type 7,Commercial associate,Sales staff,,,,,
543,Kindergarten,Working,Core staff,,,,,
544,Industry: type 9,Working,Laborers,,,,,
545,Self-employed,Working,UNKNOWN,,,,,
546,Business Entity Type 3,Commercial associate,Managers,,,,,
547,Transport: type 3,Working,Drivers,,,,,
548,Business Entity Type 3,Commercial associate,Core staff,,,,,
549,Business Entity Type 3,Commercial associate,Laborers,,,,,
550,Agriculture,Commercial associate,High skill tech staff,,,,,
551,Business Entity Type 3,Commercial associate,Core staff,,,,,
552,Self-employed,Working,Laborers,,,,,
553,Self-employed,Working,Sales staff,,,,,
554,Business Entity Type 3,Working,Managers,,,,,
555,Security,Commercial associate,Security staff,,,,,
556,XNA,Pensioner,UNKNOWN,,,,,
557,XNA,Pensioner,UNKNOWN,,,,,
558,Business Entity Type 3,Working,UNKNOWN,,,,,
559,Transport: type 4,Working,Managers,,,,,
560,Business Entity Type 3,Working,Laborers,,,,,
561,Medicine,Working,UNKNOWN,,,,,
562,Agriculture,Working,Core staff,,,,,
563,School,Working,UNKNOWN,,,,,
